State,County,Census Tract Number,Life Expectancy,Life Expectancy Range,Life Expectancy Standard Error
Illinois,"Cook County, IL",0625.00,,,
Illinois,"Cook County, IL",0626.00,,,
Illinois,"Cook County, IL",0627.00,79.7,79.6-81.6,3.2263
Illinois,"Cook County, IL",0628.00,78.6,77.6-79.5,2.5367
Illinois,"Cook County, IL",0629.00,80.9,79.6-81.6,2.4493
Illinois,"Cook County, IL",0630.00,79.2,77.6-79.5,3.5991
Illinois,"Cook County, IL",0631.00,,,
Illinois,"Cook County, IL",0632.00,,,
Illinois,"Cook County, IL",0633.01,82.5,81.7-97.5,3.4012
Illinois,"Cook County, IL",0633.02,80.9,79.6-81.6,2.3336
Illinois,"Cook County, IL",0633.03,80.7,79.6-81.6,1.2024
Illinois,"Cook County, IL",0634.00,,,
Illinois,"Cook County, IL",0701.01,,,
Illinois,"Cook County, IL",0701.02,,,
Illinois,"Cook County, IL",0701.03,,,
Illinois,"Cook County, IL",0702.00,71.6,56.9-75.1,2.0195
Illinois,"Cook County, IL",0703.00,80.9,79.6-81.6,3.3448
Illinois,"Cook County, IL",0704.00,80.7,79.6-81.6,2.9475
Illinois,"Cook County, IL",0705.00,74.3,56.9-75.1,1.3722
Illinois,"Cook County, IL",0706.00,82,81.7-97.5,2.4541
Illinois,"Cook County, IL",0707.00,81.1,79.6-81.6,2.2478
Illinois,"Cook County, IL",0710.00,81.1,79.6-81.6,2.0895
Illinois,"Cook County, IL",0711.00,80.5,79.6-81.6,2.581
Illinois,"Cook County, IL",0712.00,81.6,79.6-81.6,3.5838
Illinois,"Cook County, IL",0713.00,84.6,81.7-97.5,2.4603
Illinois,"Cook County, IL",0714.00,80.1,79.6-81.6,1.4849
Illinois,"Cook County, IL",0715.00,81.2,79.6-81.6,2.8474
Illinois,"Cook County, IL",0716.00,80.3,79.6-81.6,2.691
Illinois,"Cook County, IL",0717.00,82.3,81.7-97.5,2.4811
Illinois,"Cook County, IL",0718.00,80.3,79.6-81.6,3.1764
Illinois,"Cook County, IL",0801.00,86.5,81.7-97.5,1.8738
Illinois,"Cook County, IL",0802.01,,,
Illinois,"Cook County, IL",0802.02,80.3,79.6-81.6,1.6962
Illinois,"Cook County, IL",0803.00,80.7,79.6-81.6,2.2995
Illinois,"Cook County, IL",0804.00,,,
Illinois,"Cook County, IL",0810.00,79.3,77.6-79.5,1.8606
Illinois,"Cook County, IL",0811.00,77.6,77.6-79.5,1.6891
Illinois,"Cook County, IL",0812.01,85.4,81.7-97.5,2.4785
Illinois,"Cook County, IL",0812.02,90,81.7-97.5,2.9619
Illinois,"Cook County, IL",0813.00,85.6,81.7-97.5,1.7985
Illinois,"Cook County, IL",0814.01,80.7,79.6-81.6,1.1903
Illinois,"Cook County, IL",0814.02,80.7,79.6-81.6,2.0235
Illinois,"Cook County, IL",0814.03,80.2,79.6-81.6,1.8774
Illinois,"Cook County, IL",0815.00,84.8,81.7-97.5,3.9357
Illinois,"Cook County, IL",0816.00,80.1,79.6-81.6,3.6428
Illinois,"Cook County, IL",0817.00,,,
Illinois,"Cook County, IL",0818.00,,,
Illinois,"Cook County, IL",0819.00,,,
Illinois,"Cook County, IL",0901.00,80.4,79.6-81.6,1.4414
Illinois,"Cook County, IL",0902.00,79.2,77.6-79.5,1.6966
Illinois,"Cook County, IL",0903.00,82.4,81.7-97.5,1.9831
Illinois,"Cook County, IL",1001.00,81.1,79.6-81.6,1.75
Illinois,"Cook County, IL",1002.00,80.8,79.6-81.6,1.3701
Illinois,"Cook County, IL",1003.00,79.8,79.6-81.6,1.1709
Illinois,"Cook County, IL",1004.00,79.4,77.6-79.5,1.6759
Illinois,"Cook County, IL",1005.00,79,77.6-79.5,1.3769
Illinois,"Cook County, IL",1006.00,80.1,79.6-81.6,1.3499
Illinois,"Cook County, IL",1007.00,81.4,79.6-81.6,1.1446
Illinois,"Cook County, IL",1101.00,82.3,81.7-97.5,1.6223
Illinois,"Cook County, IL",1102.00,78.7,77.6-79.5,2.0576
Illinois,"Cook County, IL",1103.00,80.2,79.6-81.6,1.2974
Illinois,"Cook County, IL",1104.00,80.4,79.6-81.6,1.3419
Illinois,"Cook County, IL",1105.01,78.5,77.6-79.5,1.2584
Illinois,"Cook County, IL",1105.02,79.9,79.6-81.6,2.6188
Illinois,"Cook County, IL",1201.00,82,81.7-97.5,1.2952
Illinois,"Cook County, IL",1202.00,86.9,81.7-97.5,2.1122
Illinois,"Cook County, IL",1203.00,81.8,81.7-97.5,1.3498
Illinois,"Cook County, IL",1204.00,,,
Illinois,"Cook County, IL",1301.00,84.8,81.7-97.5,1.6507
Illinois,"Cook County, IL",1302.00,83.3,81.7-97.5,2.4384
Illinois,"Cook County, IL",1303.00,84.7,81.7-97.5,2.4622
Illinois,"Cook County, IL",1401.00,78,77.6-79.5,3.4031
Illinois,"Cook County, IL",1402.00,79.2,77.6-79.5,1.3006
Illinois,"Cook County, IL",1403.01,,,
Illinois,"Cook County, IL",1403.02,77.3,75.2-77.5,1.518
Illinois,"Cook County, IL",1404.00,87.3,81.7-97.5,3.3637
Illinois,"Cook County, IL",1405.00,84.2,81.7-97.5,3.4082
Illinois,"Cook County, IL",1406.01,84.7,81.7-97.5,3.6962
Illinois,"Cook County, IL",1406.02,78.2,77.6-79.5,1.5447
Illinois,"Cook County, IL",1407.01,,,
Illinois,"Cook County, IL",1407.02,78.5,77.6-79.5,1.9688
Illinois,"Cook County, IL",1408.00,81.3,79.6-81.6,1.4314
Illinois,"Cook County, IL",1502.00,77.7,77.6-79.5,1.4328
Illinois,"Cook County, IL",1503.00,82.9,81.7-97.5,2.1038
Illinois,"Cook County, IL",1504.01,77.2,75.2-77.5,1.1983
Illinois,"Cook County, IL",1504.02,76.4,75.2-77.5,1.6524
Illinois,"Cook County, IL",1505.01,82,81.7-97.5,1.6101
Illinois,"Cook County, IL",1505.02,80,79.6-81.6,1.8241
Illinois,"Cook County, IL",1506.00,75.8,75.2-77.5,1.4946
Illinois,"Cook County, IL",1507.00,80.6,79.6-81.6,1.7289
Illinois,"Cook County, IL",1508.00,79,77.6-79.5,1.5035
Illinois,"Cook County, IL",1510.01,83,81.7-97.5,3.547
Illinois,"Cook County, IL",1510.02,77.1,75.2-77.5,1.5083
Illinois,"Cook County, IL",1511.00,81.6,79.6-81.6,2.5795
Illinois,"Cook County, IL",1512.00,79.6,79.6-81.6,1.5204
Illinois,"Cook County, IL",1601.00,80.4,79.6-81.6,2.3244
Illinois,"Cook County, IL",1602.00,78.4,77.6-79.5,1.4854
Illinois,"Cook County, IL",1603.00,79.2,77.6-79.5,1.3535
Illinois,"Cook County, IL",1604.00,79.7,79.6-81.6,2.4742
Illinois,"Cook County, IL",1605.01,82.3,81.7-97.5,2.029
Illinois,"Cook County, IL",1605.02,79.1,77.6-79.5,2.416
Illinois,"Cook County, IL",1606.01,81.4,79.6-81.6,1.6383
Illinois,"Cook County, IL",1606.02,77.9,77.6-79.5,1.9101
Illinois,"Cook County, IL",1607.00,81.7,81.7-97.5,1.9805
Illinois,"Cook County, IL",1608.00,79,77.6-79.5,2.2169
Illinois,"Cook County, IL",1609.00,79.6,79.6-81.6,2.7427
Illinois,"Cook County, IL",1610.00,81.4,79.6-81.6,1.1564
Illinois,"Cook County, IL",1611.00,75.4,75.2-77.5,1.6436
Illinois,"Cook County, IL",1612.00,77.3,75.2-77.5,1.594
Illinois,"Cook County, IL",1613.00,78.6,77.6-79.5,2.0885
Illinois,"Cook County, IL",1701.00,79.6,79.6-81.6,1.5005
Illinois,"Cook County, IL",1702.00,81.1,79.6-81.6,2.6698
Illinois,"Cook County, IL",1703.00,80.9,79.6-81.6,0.9612
Illinois,"Cook County, IL",1704.00,79,77.6-79.5,1.8446
Illinois,"Cook County, IL",1705.00,80.9,79.6-81.6,1.0884
Illinois,"Cook County, IL",1706.00,83.5,81.7-97.5,1.8453
Illinois,"Cook County, IL",1707.00,77.9,77.6-79.5,1.0752
Illinois,"Cook County, IL",1708.00,78.9,77.6-79.5,1.587
Illinois,"Cook County, IL",1709.00,78.7,77.6-79.5,2.0977
Illinois,"Cook County, IL",1710.00,79,77.6-79.5,0.9172
Illinois,"Cook County, IL",1711.00,76.8,75.2-77.5,1.9782
Illinois,"Cook County, IL",1801.00,77.2,75.2-77.5,1.3622
Illinois,"Cook County, IL",1901.00,76,75.2-77.5,1.2177
Illinois,"Cook County, IL",1902.00,82.3,81.7-97.5,2.7792
Illinois,"Cook County, IL",1903.00,80.2,79.6-81.6,1.6704
Illinois,"Cook County, IL",1904.01,78.5,77.6-79.5,1.843
Illinois,"Cook County, IL",1904.02,85.9,81.7-97.5,3.3414
Illinois,"Cook County, IL",1906.01,79.6,79.6-81.6,2.6066
Illinois,"Cook County, IL",1906.02,75.8,75.2-77.5,1.8548
Illinois,"Cook County, IL",1907.01,77.4,75.2-77.5,1.5382
Illinois,"Cook County, IL",1907.02,80.5,79.6-81.6,2.1462
Illinois,"Cook County, IL",1908.00,82.1,81.7-97.5,2.306
Illinois,"Cook County, IL",1909.00,82,81.7-97.5,3.2907
Illinois,"Cook County, IL",1910.00,77.4,75.2-77.5,1.4164
Illinois,"Cook County, IL",1911.00,79.2,77.6-79.5,2.1029
Illinois,"Cook County, IL",1912.00,76,75.2-77.5,3.4454
Illinois,"Cook County, IL",1913.01,77.1,75.2-77.5,1.492
Illinois,"Cook County, IL",1913.02,80.3,79.6-81.6,3.349
Illinois,"Cook County, IL",2001.00,81.6,79.6-81.6,2.0926
Illinois,"Cook County, IL",2002.00,78.5,77.6-79.5,1.9401
Illinois,"Cook County, IL",2003.00,76,75.2-77.5,1.7906
Illinois,"Cook County, IL",2004.01,75.6,75.2-77.5,1.4338
Illinois,"Cook County, IL",2004.02,,,
Illinois,"Cook County, IL",2101.00,79.4,77.6-79.5,1.8611
Illinois,"Cook County, IL",2104.00,83.3,81.7-97.5,1.966
Illinois,"Cook County, IL",2105.01,77.4,75.2-77.5,1.8616
Illinois,"Cook County, IL",2105.02,80.5,79.6-81.6,2.9918
Illinois,"Cook County, IL",2106.01,78.5,77.6-79.5,2.0233
Illinois,"Cook County, IL",2106.02,77.9,77.6-79.5,1.5724
Illinois,"Cook County, IL",2107.00,81.8,81.7-97.5,2.9419
Illinois,"Cook County, IL",2108.00,,,
Illinois,"Cook County, IL",2109.00,79.2,77.6-79.5,1.3956
Illinois,"Cook County, IL",2203.00,78.9,77.6-79.5,2.8114
Illinois,"Cook County, IL",2204.00,79.3,77.6-79.5,1.7655
Illinois,"Cook County, IL",2205.00,79.4,77.6-79.5,3.3731
Illinois,"Cook County, IL",2206.01,78,77.6-79.5,2.3488
Illinois,"Cook County, IL",2206.02,80.7,79.6-81.6,2.4718
Illinois,"Cook County, IL",2207.01,80.1,79.6-81.6,3.0945
Illinois,"Cook County, IL",2207.02,78.2,77.6-79.5,3.5027
Illinois,"Cook County, IL",2209.01,78.6,77.6-79.5,3.208
Illinois,"Cook County, IL",2209.02,84.1,81.7-97.5,3.9089
Illinois,"Cook County, IL",2210.00,76.8,75.2-77.5,3.0229
Illinois,"Cook County, IL",2211.00,74.4,56.9-75.1,1.949
Illinois,"Cook County, IL",2212.00,76.3,75.2-77.5,3.0756
Illinois,"Cook County, IL",2213.00,81.2,79.6-81.6,1.8448
Illinois,"Cook County, IL",2214.00,80.9,79.6-81.6,3.0748
Illinois,"Cook County, IL",2215.00,80,79.6-81.6,2.7426
Illinois,"Cook County, IL",2216.00,81.3,79.6-81.6,2.8821
Illinois,"Cook County, IL",2222.00,79.9,79.6-81.6,2.8658
Illinois,"Cook County, IL",2225.00,,,
Illinois,"Cook County, IL",2226.00,,,
Illinois,"Cook County, IL",2227.00,,,
Illinois,"Cook County, IL",2228.00,76.8,75.2-77.5,3.3385
Illinois,"Cook County, IL",2229.00,,,
Illinois,"Cook County, IL",2301.00,77.3,75.2-77.5,2.205
Illinois,"Cook County, IL",2302.00,76.8,75.2-77.5,3.311
Illinois,"Cook County, IL",2303.00,,,
Illinois,"Cook County, IL",2304.00,,,
Illinois,"Cook County, IL",2305.00,75.6,75.2-77.5,1.7292
Illinois,"Cook County, IL",2306.00,73.8,56.9-75.1,2.0243
Illinois,"Cook County, IL",2307.00,76.2,75.2-77.5,1.9461
Illinois,"Cook County, IL",2308.00,78.9,77.6-79.5,2.2999
Illinois,"Cook County, IL",2309.00,79.2,77.6-79.5,2.4729
Illinois,"Cook County, IL",2311.00,74.2,56.9-75.1,2.3178
Illinois,"Cook County, IL",2312.00,70.2,56.9-75.1,1.471
Illinois,"Cook County, IL",2315.00,70.2,56.9-75.1,1.2281
Illinois,"Cook County, IL",2402.00,81.3,79.6-81.6,1.9878
Illinois,"Cook County, IL",2403.00,82,81.7-97.5,2.4067
Illinois,"Cook County, IL",2405.00,,,
Illinois,"Cook County, IL",2406.00,,,
Illinois,"Cook County, IL",2407.00,,,
Illinois,"Cook County, IL",2408.00,77.1,75.2-77.5,3.7111
