Geographic Area Name,Median Income,Margin of Error,Median Income In Thousands
8131,101538,16594,101.538
8091,101406,28892,101.406
601,101375,19265,101.375
8046.08,101189,28483,101.189
8182,101069,16691,101.069
202,100689,25348,100.689
7504,100556,24706,100.556
7706.01,100531,13887,100.531
1001,100500,18078,100.5
1505.01,100431,21659,100.431
8240.03,99958,20445,99.958
8300.04,99866,16397,99.866
8300.03,99861,20467,99.861
812.01,99759,14768,99.759
8288.01,99727,12628,99.727
8390,99438,27316,99.438
5610,99274,21406,99.274
8026.05,99189,14853,99.189
7204,99100,9166,99.1
630,99041,9485,99.041
8038,98750,17047,98.75
8037.02,98578,28634,98.578
8241.22,98397,13546,98.397
2431,98102,16698,98.102
903,97885,13306,97.885
702,97847,17698,97.847
1204,97829,27498,97.829
8241.27,97821,33180,97.821
8043.06,97167,33041,97.167
8286.02,97135,8387,97.135
8025.03,96917,18107,96.917
1002,96831,14577,96.831
407,96791,16662,96.791
8241.06,96786,13855,96.786
8241.25,96775,29254,96.775
8181,96750,29463,96.75
8043.16,96518,14011,96.518
715,96050,13029,96.05
8030.17,95795,21156,95.795
8189,95740,5986,95.74
8300.08,95724,16247,95.724
8080.01,95403,19345,95.403
8422,95296,21509,95.296
8188,95000,14211,95
631,94929,20166,94.929
8047.16,94912,7282,94.912
7202,94896,22574,94.896
621,94607,26273,94.607
8186,94589,17274,94.589
8048.09,94196,17499,94.196
8027.01,93902,16351,93.902
8023,93836,23011,93.836
8045.13,93750,31611,93.75
8237.04,93611,16152,93.611
8043.15,93590,14047,93.59
8041.08,93048,11188,93.048
1302,93000,29478,93
8239.03,93000,23642,93
8158,92917,29635,92.917
813,92731,23733,92.731
2203,92647,18139,92.647
8061.02,92563,30109,92.563
2109,92414,26770,92.414
8019.01,92333,10969,92.333
8054.02,92321,13172,92.321
3902,92292,14538,92.292
633.03,92200,11013,92.2
8300.05,92153,14165,92.153
1007,92147,21637,92.147
1610,92105,10163,92.105
1105.01,91721,6640,91.721
2204,91637,22361,91.637
8027.02,91442,16927,91.442
8245.09,91250,24528,91.25
8048.07,91163,7412,91.163
8240.04,91135,9664,91.135
2423,91119,7841,91.119
8030.13,91094,29486,91.094
802.02,90918,8636,90.918
2424,90893,14010,90.893
1609,90875,22906,90.875
8241.19,90840,21531,90.84
8030.07,90833,17820,90.833
1705,90804,11680,90.804
8048.05,90597,16000,90.597
203.02,90560,28231,90.56
8030.15,90526,12269,90.526
8051.09,90417,17638,90.417
8206.06,90208,18571,90.208
8043.09,90111,17909,90.111
2101,89972,11245,89.972
8383,89968,23268,89.968
8037.01,89808,8282,89.808
8209.02,89750,19442,89.75
8063,89417,12947,89.417
2430,89196,25273,89.196
8160,89188,14285,89.188
404.02,89125,9662,89.125
8299.04,89071,13709,89.071
8110,89022,16441,89.022
8047.12,88807,12575,88.807
309,88796,11565,88.796
2434,88625,33440,88.625
3102,88625,23607,88.625
8123.01,88529,11282,88.529
1403.02,88190,17696,88.19
5611,88070,16088,88.07
7704,88068,13163,88.068
8236.04,87750,17376,87.75
8185,87538,10216,87.538
8060.05,87516,27176,87.516
2411,87454,17270,87.454
1005,87443,17502,87.443
2838,87368,24674,87.368
8047.1,87311,7416,87.311
8066,86853,15165,86.853
8286.01,86671,5573,86.671
8045.09,86579,13887,86.579
402.01,86557,11439,86.557
8030.05,86548,14787,86.548
8047.13,86307,12982,86.307
8039.02,86250,13189,86.25
8061.03,86250,5106,86.25
8400,86176,25513,86.176
8222,86151,14158,86.151
8219,86121,8848,86.121
8301,86106,26408,86.106
8036.08,85962,24167,85.962
8226.01,85954,13586,85.954
7404,85824,18240,85.824
8051.1,85759,7788,85.759
8202.04,85667,39911,85.667
1504.02,85568,4610,85.568
8217,85446,14807,85.446
5608,85304,20521,85.304
1103,85263,14269,85.263
633.02,85152,14024,85.152
620,85144,15058,85.144
2407,84896,28416,84.896
7401,84800,17721,84.8
308,84794,9573,84.794
8054.01,84625,29164,84.625
8241.29,84507,20037,84.507
701.02,84365,8162,84.365
406,84362,10460,84.362
8103.01,84271,20765,84.271
2214,84063,24071,84.063
7304,84000,22983,84
7709.01,83990,17173,83.99
8025.04,83958,9514,83.958
8025.06,83958,7644,83.958
8426,83958,11877,83.958
602,83897,19709,83.897
8032,83844,16602,83.844
8044.03,83837,7860,83.837
8048.06,83529,17127,83.529
8236.05,83352,20964,83.352
8225,83333,20468,83.333
8279.01,83333,11877,83.333
2210,83295,13862,83.295
8044.04,83209,12449,83.209
8105.02,83068,20724,83.068
1506,83049,16019,83.049
403,83000,17998,83
2205,83000,11380,83
8047.09,82717,15764,82.717
8052.02,82672,11944,82.672
2206.01,82656,23256,82.656
1101,82538,16907,82.538
3301.03,82491,27592,82.491
2106.02,82420,23994,82.42
8047.14,82358,8526,82.358
1703,82196,7753,82.196
8410,82159,41302,82.159
8241.21,82104,4853,82.104
7005.02,82040,5702,82.04
401,81984,18270,81.984
811,81976,8860,81.976
8082,81952,7335,81.952
310,81898,9341,81.898
8053.01,81818,23849,81.818
8299.02,81221,10044,81.221
1704,81133,20806,81.133
8321,80785,19214,80.785
8253.04,80508,10778,80.508
8241.23,80444,6951,80.444
8101,80422,16863,80.422
8302.02,80372,11969,80.372
1003,80339,13395,80.339
4112,80313,50749,80.313
8153,80192,14681,80.192
1601,80156,22386,80.156
8118,80084,7567,80.084
8241.28,80000,8749,80
408,79922,16360,79.922
8036.16,79898,27147,79.898
8036.04,79875,4039,79.875
8040,79683,12349,79.683
8072,79676,18411,79.676
7004.01,79318,19578,79.318
1702,79261,19061,79.261
8108,79063,8392,79.063
1512,79038,11252,79.038
8115,79006,11629,79.006
8048.03,79000,10329,79
8246.01,78914,5119,78.914
8226.02,78694,3164,78.694
8278.02,78482,18491,78.482
2410,78203,12332,78.203
8252,78138,18508,78.138
2106.01,78109,11985,78.109
8036.05,78107,22744,78.107
8299.03,78032,18631,78.032
2916,77917,40309,77.917
2226,77760,20635,77.76
701.01,77697,12005,77.697
7003.02,77396,13841,77.396
8053.02,77266,35112,77.266
302,77226,13466,77.226
8193,77212,18541,77.212
8246.02,77163,15997,77.163
8046.11,77083,13935,77.083
8223.01,77045,26883,77.045
1711,77009,16268,77.009
1710,76979,19377,76.979
8308,76968,7491,76.968
1607,76829,18298,76.829
8059.01,76764,13973,76.764
8311,76754,23136,76.754
1510.01,76563,13691,76.563
7207,76534,21259,76.534
2426,76473,8285,76.473
8358,76473,9985,76.473
8253.02,76389,11163,76.389
1503,76345,11978,76.345
8399,76313,21592,76.313
8147,76295,10088,76.295
2301,76250,28194,76.25
8285.07,76154,14662,76.154
1507,75969,11494,75.969
8192,75917,12591,75.917
8047.11,75818,6256,75.818
619.02,75670,4601,75.67
7702.01,75646,5033,75.646
1407.01,75585,7655,75.585
8048.1,75578,18823,75.578
8184.02,75549,21065,75.549
8382,75500,34915,75.5
8105.01,75449,19548,75.449
8201.03,75433,5596,75.433
8039.01,75274,11246,75.274
8043.05,75274,18748,75.274
2211,74931,13257,74.931
8047.01,74904,15413,74.904
8241.07,74894,15325,74.894
8146,74868,17389,74.868
8195,74856,10901,74.856
4804,74597,25348,74.597
1405,74583,18696,74.583
8074,74583,13170,74.583
318,74309,12866,74.309
207.01,74167,39929,74.167
1404,74131,20231,74.131
8293.01,74087,16240,74.087
7002,73946,11272,73.946
1913.01,73828,21563,73.828
1408,73704,17564,73.704
409,73681,22497,73.681
8030.12,73625,16783,73.625
7703,73554,10760,73.554
8155,73549,11530,73.549
319,73424,17117,73.424
8128.02,73319,18233,73.319
2107,73286,14248,73.286
8208,73250,8078,73.25
8218,73179,12254,73.179
8044.06,73125,16122,73.125
8095,73083,13212,73.083
8080.02,73011,12630,73.011
7709.02,72857,19515,72.857
7004.02,72721,14428,72.721
1605.02,72540,14121,72.54
8043.08,72500,12369,72.5
8069,72337,12483,72.337
8169,72152,9060,72.152
2228,72125,36997,72.125
8211.02,72074,17687,72.074
8288.02,72074,4097,72.074
608,72061,11954,72.061
8114.01,72004,12649,72.004
8211.01,71997,5143,71.997
8076,71962,17620,71.962
8024.03,71944,8119,71.944
1406.02,71875,35475,71.875
1707,71786,14843,71.786
2427,71705,14938,71.705
8047.05,71696,15293,71.696
4109,71682,8087,71.682
8216,71644,5244,71.644
8145,71638,9060,71.638
8194,71467,19634,71.467
311,71420,11383,71.42
5304,71417,15889,71.417
1504.01,71250,13659,71.25
8171.02,71250,15638,71.25
1006,71198,16209,71.198
314,71181,12920,71.181
8051.06,70921,11944,70.921
2229,70855,29655,70.855
206.02,70795,11911,70.795
2213,70709,20239,70.709
1904.01,70510,8935,70.51
1605.01,70347,13146,70.347
8036.15,70288,26369,70.288
8168,70261,7671,70.261
2828,70194,15542,70.194
3907,70192,13495,70.192
8403,70185,18661,70.185
8407,70163,34402,70.163
1608,70035,13274,70.035
2425,69950,10566,69.95
1502,69881,20002,69.881
7001,69839,23168,69.839
3104,69738,8766,69.738
8159,69718,10268,69.718
317,69688,14524,69.688
7502,69682,35360,69.682
8048.04,69600,17359,69.6
8046.1,69583,9187,69.583
5905,69550,20774,69.55
7608.01,69534,14927,69.534
8233.03,69514,10732,69.514
6505,69457,17392,69.457
1510.02,69450,14125,69.45
8151,69435,9622,69.435
814.01,69432,13543,69.432
810,69379,12397,69.379
1508,69155,16486,69.155
8083.02,69103,16088,69.103
8360,69056,14752,69.056
8112,69033,11781,69.033
1706,69011,7089,69.011
7706.02,69010,13270,69.01
8044.05,69010,4564,69.01
8205.01,68973,9469,68.973
8045.1,68917,8670,68.917
8068.02,68870,8315,68.87
8237.02,68813,14611,68.813
8113.01,68622,13535,68.622
7702.02,68558,6702,68.558
8245.03,68393,6382,68.393
5607,68320,11583,68.32
8046.03,68217,8525,68.217
8051.05,68119,9330,68.119
304,68102,19155,68.102
1606.01,68092,12453,68.092
1104,68080,7271,68.08
7302.02,68036,18872,68.036
8024.02,67816,7189,67.816
4406,67813,11207,67.813
8284.01,67750,11147,67.75
8221.01,67528,6124,67.528
8045.05,67461,10834,67.461
8127,67407,11160,67.407
632,67406,21167,67.406
8030.14,67356,7174,67.356
6201,67310,13515,67.31
2227,67283,9633,67.283
609,67257,23007,67.257
8177,67250,9336,67.25
8207,67246,13993,67.246
8228.01,67198,18308,67.198
8250,67193,7874,67.193
8073,67010,6754,67.01
8241.24,66953,21061,66.953
8026.08,66947,7671,66.947
8114.02,66875,11852,66.875
8253.03,66799,9615,66.799
8254,66723,18409,66.723
8228.02,66705,22979,66.705
3906,66667,64789,66.667
8162,66655,6103,66.655
8065.02,66600,7346,66.6
8245.07,66538,15610,66.538
7708,66403,25108,66.403
8206.03,66354,11096,66.354
1603,66338,9096,66.338
1406.01,66250,21684,66.25
1606.02,66250,9505,66.25
2408,66250,15779,66.25
8232,66250,13135,66.25
1505.02,66234,13845,66.234
5205,66164,15137,66.164
7003.01,66163,6600,66.163
1511,66118,15676,66.118
3106,66074,6391,66.074
8098,66071,31508,66.071
8201.04,66023,13396,66.023
1303,65995,10943,65.995
4407,65903,18154,65.903
2302,65898,16593,65.898
8278.01,65833,3521,65.833
204,65776,9612,65.776
2215,65766,7897,65.766
8107.02,65750,7274,65.75
6404,65741,15427,65.741
2827,65650,18326,65.65
2004.02,65645,15006,65.645
5907,65491,29062,65.491
6405,65474,9175,65.474
8068.01,65461,8757,65.461
8378,65396,30258,65.396
8163,65291,6161,65.291
1402,65202,13848,65.202
8227.02,65104,10990,65.104
8236.02,65046,13192,65.046
1102,65034,26653,65.034
5201,65000,25938,65
5305.02,65000,15003,65
8282.01,65000,21881,65
8241.15,64917,32905,64.917
8137.02,64896,19024,64.896
8235,64804,8982,64.804
8128.01,64760,7393,64.76
8083.01,64714,20593,64.714
321,64712,12565,64.712
