Geographic Area Name,Median Income,Margin of Error,Median Income In Thousands
8285.03,44000,19260,44
8344,43971,27714,43.971
3006,43937,4068,43.937
804,43844,27549,43.844
102.02,43839,6338,43.839
8096,43715,26732,43.715
4912,43667,16576,43.667
8267,43635,11547,43.635
8092,43613,9542,43.613
2306,43528,5602,43.528
307.03,43469,20144,43.469
7301,43429,10419,43.429
4601,43393,11912,43.393
5705,43380,6375,43.38
5801,43333,8501,43.333
7705,43306,9786,43.306
6501,43301,18375,43.301
8204,43232,8578,43.232
6203,43203,24570,43.203
105.01,43097,8854,43.097
3017.02,43030,12055,43.03
8408,42902,5963,42.902
101,42891,22191,42.891
2307,42877,10599,42.877
6305,42817,7940,42.817
5203,42728,4106,42.728
8411,42614,22611,42.614
8265,42581,9664,42.581
7103,42560,11714,42.56
315.01,42519,10730,42.519
6104,42518,6665,42.518
209.02,42472,6655,42.472
6401,42375,18648,42.375
6118,42321,15822,42.321
8285.08,42180,11104,42.18
7506,42174,11632,42.174
5204,42149,7726,42.149
8294.02,42130,11645,42.13
7303,42083,10552,42.083
8297,42064,7474,42.064
7114,42044,5748,42.044
8141,42044,5225,42.044
5806,41983,12250,41.983
6306,41862,8738,41.862
5802,41837,4221,41.837
4101,41806,2358,41.806
8317,41786,35225,41.786
306.03,41760,5360,41.76
5805.01,41711,10287,41.711
8262.02,41694,13562,41.694
205,41673,8721,41.673
4908,41620,8736,41.62
6604,41579,9687,41.579
2502,41552,12574,41.552
301.04,41536,9165,41.536
8165,41485,4068,41.485
8133.02,41458,5628,41.458
4301.02,41399,14382,41.399
3018.01,41283,6765,41.283
5202,41267,11896,41.267
5102,41250,16654,41.25
7113,41250,34621,41.25
8138.01,41163,7869,41.163
7104,41121,13835,41.121
4401.02,41120,2861,41.12
8300.01,41071,12676,41.071
8436,41060,17136,41.06
8438,40966,25342,40.966
306.01,40846,9168,40.846
8345,40769,24554,40.769
3007,40582,4339,40.582
4208,40556,14142,40.556
105.02,40492,7554,40.492
1701,40313,26790,40.313
8293.02,40143,16073,40.143
2610,40057,7922,40.057
8418,40000,10624,40
102.01,39955,23269,39.955
4309,39948,14144,39.948
2503,39844,14499,39.844
8249,39782,8039,39.782
8276,39643,6243,39.643
4701,39611,16187,39.611
8421,39576,4207,39.576
8351,39324,8481,39.324
2605,39268,12485,39.268
3905,39074,12552,39.074
6609,39016,5872,39.016
8081,38944,13863,38.944
4107,38926,4766,38.926
8266,38920,4992,38.92
8244,38849,7307,38.849
6006,38566,20764,38.566
8392,38397,5623,38.397
8428,38384,5417,38.384
8093,38151,7109,38.151
6114,37917,13101,37.917
3018.02,37639,9980,37.639
5805.02,37596,7193,37.596
8305,37306,11361,37.306
4913,37279,15313,37.279
7106,37250,15805,37.25
4304,37228,10202,37.228
104,37198,8616,37.198
8243,37028,11658,37.028
6905,36926,13025,36.926
2510,36923,9173,36.923
3818,36849,10076,36.849
2712,36739,15937,36.739
6720,36548,20411,36.548
4409,36538,17040,36.538
4314,36466,6377,36.466
6712,36397,18419,36.397
8262.01,36309,11047,36.309
3405,36250,16792,36.25
2522.01,36204,6936,36.204
8339,36116,14361,36.116
2602,36042,6332,36.042
2521.02,35949,8958,35.949
3403,35893,7437,35.893
8020.04,35609,17290,35.609
2305,35607,13377,35.607
5101,35417,29118,35.417
3814,35395,13040,35.395
6603.02,35368,5235,35.368
8367,35260,12872,35.26
4402.01,35222,18360,35.222
2922,35185,12230,35.185
7105,35104,8939,35.104
5306,35000,23281,35
6309,34875,12258,34.875
6610,34674,10644,34.674
6909,34583,13635,34.583
8270,34280,10641,34.28
315.02,34201,9667,34.201
6115,34196,8775,34.196
4603.01,34186,15234,34.186
4914,33999,3109,33.999
3012,33971,8167,33.971
8269.02,33967,5991,33.967
6914,33939,6380,33.939
5002,33909,10008,33.909
5301,33882,9393,33.882
3011,33850,4885,33.85
4004,33652,15856,33.652
4203,33293,13233,33.293
4106,33250,6441,33.25
3018.03,33227,12249,33.227
4202,33188,19064,33.188
8374,32838,9222,32.838
4301.01,32761,10592,32.761
6709,32708,7349,32.708
6806,32614,25618,32.614
6715,32470,17754,32.47
2312,32448,11244,32.448
8431,32383,22725,32.383
6120,32354,16967,32.354
4003,32273,8779,32.273
6707,32266,13399,32.266
2522.02,32173,6572,32.173
8447,31905,14860,31.905
4603.02,31885,12880,31.885
8370,31825,11212,31.825
2715,31806,22432,31.806
6113,31750,19844,31.75
3009,31609,9151,31.609
7107,31573,13624,31.573
8350,31449,3797,31.449
2718,31429,22989,31.429
6304,31429,4855,31.429
6605,31415,11162,31.415
4909.01,31406,9702,31.406
4402.02,31364,8278,31.364
4313.01,31289,5731,31.289
2516,30938,11532,30.938
8415,30691,9413,30.691
2513,30580,4074,30.58
8388,30503,6466,30.503
6119,30208,8308,30.208
8294.01,30208,4775,30.208
7109,30149,8806,30.149
6606,29923,5932,29.923
6103,29867,9221,29.867
6112,29861,3644,29.861
2909,29720,12291,29.72
312,29676,13729,29.676
6718,29643,24215,29.643
2831,29609,21938,29.609
2606,29577,10896,29.577
6704,28990,15293,28.99
2608,28629,12961,28.629
6912,28573,5317,28.573
8274,28379,4037,28.379
4608,28283,5756,28.283
2912,28214,10635,28.214
4302,28056,12670,28.056
6705,27986,11592,27.986
5401.02,27694,8903,27.694
8364,27625,17050,27.625
3008,27474,9135,27.474
8346,27431,8620,27.431
6122,27382,7648,27.382
8435,27330,15662,27.33
3602,27083,16035,27.083
2315,27037,11167,27.037
7102,27029,13528,27.029
2607,27019,13006,27.019
4408,26985,11569,26.985
8291,26938,7311,26.938
5103,26673,8240,26.673
6702,26563,16093,26.563
3016,26554,1424,26.554
4303,26399,6863,26.399
4313.02,26389,11698,26.389
2714,26351,7486,26.351
3903,26102,8064,26.102
8430,25962,2427,25.962
4206,25667,11490,25.667
8369,25556,11585,25.556
2518,25517,8266,25.517
2520,25432,6017,25.432
6911,25409,5805,25.409
3802,25313,8895,25.313
8395,25000,6880,25
4207,24979,7305,24.979
8314,24780,13993,24.78
8434,24769,8825,24.769
6713,24750,8907,24.75
6116,24648,13039,24.648
6701,24625,17309,24.625
3806,24592,6744,24.592
4205,24577,19088,24.577
6607,24545,8996,24.545
8215,24545,7938,24.545
8387,24455,10648,24.455
6703,24375,8391,24.375
4602,24263,3528,24.263
6708,24158,3064,24.158
2713,24091,7396,24.091
8347,23992,11992,23.992
6805,23910,3819,23.91
6904,23750,9584,23.75
4401.01,23625,5987,23.625
6714,23330,995,23.33
4910,23255,6552,23.255
8380,23175,13734,23.175
6603.01,23086,1744,23.086
2519,22939,8138,22.939
6811,22762,9510,22.762
2511,22727,12003,22.727
7108,22614,9000,22.614
7101,22462,6787,22.462
4005,22015,14920,22.015
4305,21973,6161,21.973
8273,21778,4862,21.778
3815,21677,4365,21.677
8361,21638,6025,21.638
6121,21528,15369,21.528
6706,21452,6614,21.452
8371,21231,4246,21.231
4307,21183,8784,21.183
8269.01,21048,7531,21.048
3904,20852,8345,20.852
8290,20266,12123,20.266
8429,20089,8847,20.089
3801,19816,19236,19.816
4212,19716,14463,19.716
6716,19566,5700,19.566
8271,19487,7083,19.487
6915,19470,2069,19.47
8417,19467,2452,19.467
8349,19375,3417,19.375
4201,19358,10129,19.358
3504,19318,6838,19.318
8425,19312,4994,19.312
2521.01,19265,16939,19.265
2601,19167,6575,19.167
6809,19167,7195,19.167
3515,18750,16613,18.75
2514,18740,3801,18.74
2809,18684,9335,18.684
2603,18344,4874,18.344
8356,18190,5343,18.19
8355,18152,7030,18.152
6810,18006,4919,18.006
4204,18000,9249,18
2808,17930,6587,17.93
2705,17813,5994,17.813
5401.01,17258,7699,17.258
8348,17241,5542,17.241
105.03,17188,3419,17.188
6812,17058,4143,17.058
2609,17019,7134,17.019
8381,16319,13820,16.319
6813,16310,14060,16.31
4610,16225,3324,16.225
8373,15925,6969,15.925
8386,15820,5060,15.82
3514,13750,7200,13.75
8368,13733,4508,13.733
3406,13207,4298,13.207
4008,12896,8088,12.896
6117,12421,11380,12.421
3511,12328,3290,12.328
