Census Tract,Median Income,Margin of Error,Median Income in Thousands
83.15,68931,8214,68.931
44.06,68598,12215,68.598
106.23,68525,7288,68.525
65.04,68050,17603,68.05
90.66,68000,18596,68
119,67857,12369,67.857
102.01,67750,17101,67.75
71.01,67692,50636,67.692
1.3,67113,22682,67.113
90.44,67000,11094,67
90.5,66981,6164,66.981
156,66975,5290,66.975
76.05,66964,11275,66.964
107.07,66932,27030,66.932
151.03,66808,37900,66.808
168,66504,12757,66.504
60.02,66324,19147,66.324
3.08,66224,7966,66.224
121.05,66219,30658,66.219
126.02,66016,19823,66.016
83.1,65769,8078,65.769
7.16,65768,6875,65.768
47.03,65714,11601,65.714
90.49,65669,24374,65.669
42.06,65592,47128,65.592
22.01,65536,16513,65.536
112.04,65521,26298,65.521
116.01,65417,29654,65.417
106.08,65313,7103,65.313
65.03,65197,7149,65.197
121.01,65193,7550,65.193
110.09,65128,11475,65.128
193.02,65114,22193,65.114
111.06,65074,32026,65.074
77.05,65018,9483,65.018
107.05,64821,4743,64.821
95.03,64773,23886,64.773
6.05,64770,22287,64.77
76.07,64732,40365,64.732
1.28,64667,14450,64.667
27.08,64604,3124,64.604
100.13,64167,18204,64.167
199.02,64074,4810,64.074
41.05,63958,42214,63.958
4901,63931,7010,63.931
37.04,63906,8694,63.906
1.44,63396,37503,63.396
88.06,63333,18658,63.333
1.43,63125,19138,63.125
27.05,63065,21799,63.065
69.02,62969,31328,62.969
90.59,62946,26546,62.946
9805,62857,37207,62.857
39.17,62813,20747,62.813
110.13,62535,9061,62.535
102.09,62531,21271,62.531
98.12,62349,20559,62.349
65.01,61993,2553,61.993
90.28,61774,14890,61.774
126.01,61599,5736,61.599
99.05,61500,15997,61.5
84.23,61364,19490,61.364
94.01,61319,18763,61.319
102.11,61029,8587,61.029
90.55,61005,19470,61.005
117.01,60994,3739,60.994
70.04,60792,10200,60.792
123.01,60651,4548,60.651
49.04,60284,12882,60.284
12.07,60208,45203,60.208
88.08,60020,7369,60.02
2.16,59960,8991,59.96
90.24,59851,7651,59.851
171.02,59699,12682,59.699
62.05,59674,19946,59.674
106.26,59640,10666,59.64
99.06,59402,6446,59.402
130,59276,10193,59.276
110.08,59226,10815,59.226
43.04,59141,13537,59.141
4.1,58990,13644,58.99
159,58816,13747,58.816
106.13,58750,17887,58.75
