State,County,Census Tract Number,Life Expectancy,Life Expectancy Range,Life Expectancy Standard Error
California,"Los Angeles County, CA",1132.12,,,
California,"Los Angeles County, CA",1132.13,80.4,79.6-81.6,1.427
California,"Los Angeles County, CA",1132.31,84.2,81.7-97.5,2.024
California,"Los Angeles County, CA",1132.32,84.1,81.7-97.5,1.8913
California,"Los Angeles County, CA",1132.33,77.2,75.2-77.5,1.3787
California,"Los Angeles County, CA",1132.34,82.4,81.7-97.5,2.6249
California,"Los Angeles County, CA",1132.35,78.8,77.6-79.5,1.8503
California,"Los Angeles County, CA",1132.37,87.5,81.7-97.5,3.5784
California,"Los Angeles County, CA",1133.01,83.4,81.7-97.5,1.4613
California,"Los Angeles County, CA",1133.03,79.8,79.6-81.6,1.4877
California,"Los Angeles County, CA",1133.21,80.9,79.6-81.6,1.4616
California,"Los Angeles County, CA",1133.22,80.3,79.6-81.6,1.3787
California,"Los Angeles County, CA",1134.01,81.2,79.6-81.6,1.5558
California,"Los Angeles County, CA",1134.21,77.1,75.2-77.5,1.0994
California,"Los Angeles County, CA",1134.22,82.2,81.7-97.5,2.1136
California,"Los Angeles County, CA",1151.01,84.8,81.7-97.5,1.4381
California,"Los Angeles County, CA",1151.03,,,
California,"Los Angeles County, CA",1151.04,80.4,79.6-81.6,1.6984
California,"Los Angeles County, CA",1152.01,82.5,81.7-97.5,1.6719
California,"Los Angeles County, CA",1152.02,82,81.7-97.5,1.6944
California,"Los Angeles County, CA",1153.01,81.3,79.6-81.6,1.4746
California,"Los Angeles County, CA",1153.02,82.4,81.7-97.5,2.4957
California,"Los Angeles County, CA",1154.01,80.4,79.6-81.6,1.5544
California,"Los Angeles County, CA",1154.03,81.5,79.6-81.6,2.2016
California,"Los Angeles County, CA",1154.04,81.6,79.6-81.6,2.4814
California,"Los Angeles County, CA",1171.01,84.5,81.7-97.5,3.4877
California,"Los Angeles County, CA",1171.02,78.5,77.6-79.5,1.3263
California,"Los Angeles County, CA",1172.01,79.6,79.6-81.6,1.948
California,"Los Angeles County, CA",1172.02,77.5,75.2-77.5,1.9503
California,"Los Angeles County, CA",1173.01,80.2,79.6-81.6,1.1208
California,"Los Angeles County, CA",1173.02,81.2,79.6-81.6,1.6087
California,"Los Angeles County, CA",1173.03,,,
California,"Los Angeles County, CA",1174.04,78.7,77.6-79.5,1.0772
California,"Los Angeles County, CA",1174.05,,,
California,"Los Angeles County, CA",1174.07,76.2,75.2-77.5,2.521
California,"Los Angeles County, CA",1174.08,,,
California,"Los Angeles County, CA",1175.10,78.1,77.6-79.5,3.4761
California,"Los Angeles County, CA",1175.20,75.9,75.2-77.5,2.38
California,"Los Angeles County, CA",1175.30,81.2,79.6-81.6,2.5106
California,"Los Angeles County, CA",1190.01,82.9,81.7-97.5,2.7503
