Census Tract,Median Income,Margin of Error,Margin of Error in Thousands,Median Income in Thousands
5340.02,54063,23955,54.063,54.063
2014.02,54137,3080,54.137,54.137
2374.01,54178,10324,54.178,54.178
5522,54255,6642,54.255,54.255
2718.01,54259,7047,54.259,54.259
1310.21,54289,9548,54.289,54.289
6021.04,54321,9709,54.321,54.321
9110.01,54327,15872,54.327,54.327
5424.01,54375,14283,54.375,54.375
9111,54444,4491,54.444,54.444
1958.04,54459,33079,54.459,54.459
9102.18,54469,17041,54.469,54.469
2292,54481,14484,54.481,54.481
5042,54522,9447,54.522,54.522
5715.02,54535,8860,54.535,54.535
5539.02,54554,7501,54.554,54.554
2943.02,54595,9499,54.595,54.595
3017.02,54600,14906,54.6,54.6
5323.02,54600,15689,54.6,54.6
1273,54659,17361,54.659,54.659
6012.12,54671,14828,54.671,54.671
2119.1,54675,15278,54.675,54.675
1925.1,54688,11031,54.688,54.688
1222,54744,6186,54.744,54.744
1219,54773,15423,54.773,54.773
1151.04,54814,13623,54.814,54.814
5024.01,54847,27264,54.847,54.847
2696.02,54875,17753,54.875,54.875
2118.03,54922,6559,54.922,54.922
5334.03,54922,6826,54.922,54.922
1210.2,54956,18678,54.956,54.956
3018.01,55038,11090,55.038,55.038
5543.02,55050,9055,55.05,55.05
1343.06,55081,10396,55.081,55.081
5732.02,55158,7673,55.158,55.158
2197,55214,12089,55.214,55.214
4825.02,55250,13567,55.25,55.25
2281,55335,24583,55.335,55.335
5704.03,55336,6489,55.336,55.336
1310.22,55357,11133,55.357,55.357
5315.03,55417,14276,55.417,55.417
1271.03,55477,10380,55.477,55.477
5356.04,55543,7912,55.543,55.543
4615.02,55590,23460,55.59,55.59
2403.02,55604,37084,55.604,55.604
1272.1,55614,7323,55.614,55.614
3107.03,55625,23210,55.625,55.625
5552.11,55625,15378,55.625,55.625
5717.04,55625,12157,55.625,55.625
4020.02,55648,13760,55.648,55.648
5723.01,55650,7362,55.65,55.65
9107.15,55651,2693,55.651,55.651
1012.2,55682,9264,55.682,55.682
1895.02,55694,18376,55.694,55.694
5537.02,55747,4649,55.747,55.747
1286.01,55758,9300,55.758,55.758
1134.25,55791,8076,55.791,55.791
1992.02,55799,20805,55.799,55.799
5759.02,55801,9186,55.801,55.801
1134.27,55811,11730,55.811,55.811
5768.01,55819,14219,55.819,55.819
4325.01,55893,11419,55.893,55.893
2270.2,55917,11418,55.917,55.917
1271.04,55927,8743,55.927,55.927
4803.04,55927,10495,55.927,55.927
9005.06,55938,19862,55.938,55.938
9200.47,55959,6390,55.959,55.959
4333.06,56010,8858,56.01,56.01
5353,56010,18614,56.01,56.01
1835.2,56104,6808,56.104,56.104
5320.02,56131,11563,56.131,56.131
5358.02,56156,14924,56.156,56.156
5332.04,56173,3152,56.173,56.173
5428,56215,8060,56.215,56.215
4823.01,56250,22938,56.25,56.25
5323.03,56302,8910,56.302,56.302
2945.1,56324,13601,56.324,56.324
1340.02,56371,16700,56.371,56.371
4332,56371,7852,56.371,56.371
5702.02,56375,20911,56.375,56.375
1233.01,56380,17122,56.38,56.38
5355.02,56382,5514,56.382,56.382
3021.04,56500,13107,56.5,56.5
5026.02,56500,7518,56.5,56.5
5311.01,56568,8583,56.568,56.568
9003.01,56642,13297,56.642,56.642
2652.03,56656,19736,56.656,56.656
5414.02,56713,29924,56.713,56.713
4329.01,56765,20799,56.765,56.765
1066.04,56794,17642,56.794,56.794
2430.02,56809,8879,56.809,56.809
5348.04,56875,10082,56.875,56.875
4045.01,56893,7548,56.893,56.893
6008.02,56920,21794,56.92,56.92
4822.02,56964,14055,56.964,56.964
4029.03,56976,12404,56.976,56.976
4315.01,57012,12834,57.012,57.012
2032,57031,13398,57.031,57.031
1915,57148,11281,57.148,57.148
1046.1,57188,7489,57.188,57.188
4026.02,57198,30630,57.198,57.198
4025.03,57227,7361,57.227,57.227
9107.07,57250,5797,57.25,57.25
1881,57350,13170,57.35,57.35
5418.02,57370,27483,57.37,57.37
9010.1,57378,10179,57.378,57.378
1212.22,57500,17891,57.5,57.5
3020.04,57500,24574,57.5,57.5
1132.38,57523,13725,57.523,57.523
5338.05,57528,9332,57.528,57.528
6031.01,57568,12110,57.568,57.568
1113.04,57581,24513,57.581,57.581
1236.01,57588,8783,57.588,57.588
4324.01,57656,15251,57.656,57.656
5352,57663,8296,57.663,57.663
5538.01,57663,12500,57.663,57.663
5769.04,57673,17151,57.673,57.673
2314,57717,16006,57.717,57.717
9106.08,57760,15984,57.76,57.76
2411.1,57766,11603,57.766,57.766
5348.02,57788,13513,57.788,57.788
4324.02,57887,10718,57.887,57.887
3203,57955,10553,57.955,57.955
2225,57969,11823,57.969,57.969
2373,57974,16108,57.974,57.974
2187.01,58000,12401,58,58
1154.03,58013,8320,58.013,58.013
5317.02,58065,18956,58.065,58.065
1838.2,58100,11300,58.1,58.1
1281.01,58125,10573,58.125,58.125
2086.1,58125,13409,58.125,58.125
5731.01,58125,32926,58.125,58.125
5436.03,58200,12280,58.2,58.2
5765.03,58224,6466,58.224,58.224
6003.02,58287,14234,58.287,58.287
1395.04,58431,8786,58.431,58.431
4816.04,58438,14232,58.438,58.438
4045.04,58446,13866,58.446,58.446
1204,58478,9268,58.478,58.478
5422,58529,10138,58.529,58.529
1899.04,58594,6729,58.594,58.594
9200.31,58617,15610,58.617,58.617
6030.07,58715,31316,58.715,58.715
2149.03,58750,36084,58.75,58.75
4327,58750,6900,58.75,58.75
1924.2,58784,8401,58.784,58.784
2087.1,58788,4201,58.788,58.788
3012.04,58821,23934,58.821,58.821
1321.01,58849,17922,58.849,58.849
5765.02,58942,8560,58.942,58.942
4037.22,58995,5615,58.995,58.995
5338.06,59000,17543,59,59
1021.03,59005,15907,59.005,59.005
4816.06,59040,6707,59.04,59.04
2976.01,59047,13059,59.047,59.047
2041.1,59067,16787,59.067,59.067
5537.01,59097,10318,59.097,59.097
3012.06,59110,18365,59.11,59.11
5021,59125,22131,59.125,59.125
5511.02,59125,7130,59.125,59.125
2183,59149,17177,59.149,59.149
2015.04,59167,17604,59.167,59.167
2972.01,59189,14283,59.189,59.189
2127.01,59196,16338,59.196,59.196
9005.04,59212,7157,59.212,59.212
1831.01,59219,15520,59.219,59.219
9800.16,59250,2472,59.25,59.25
9008.08,59318,28929,59.318,59.318
2190.2,59327,5428,59.327,59.327
2703,59327,29057,59.327,59.327
2049.2,59345,17189,59.345,59.345
6021.06,59360,13369,59.36,59.36
6029,59375,35553,59.375,59.375
4341,59432,12625,59.432,59.432
1044.01,59464,18931,59.464,59.464
1958.02,59464,13023,59.464,59.464
2039,59479,9821,59.479,59.479
5400,59484,10788,59.484,59.484
5357.02,59538,6266,59.538,59.538
2346,59569,15289,59.569,59.569
1231.03,59609,10824,59.609,59.609
4042.01,59630,15992,59.63,59.63
1901.02,59632,17215,59.632,59.632
5512.01,59651,4427,59.651,59.651
1278.04,59693,5779,59.693,59.693
2047,59735,14372,59.735,59.735
4041,59750,9433,59.75,59.75
2932.06,59766,16793,59.766,59.766
1042.04,59844,27075,59.844,59.844
9203.42,59861,33514,59.861,59.861
2199.02,59901,12528,59.901,59.901
1349.04,60054,27869,60.054,60.054
2322,60076,24414,60.076,60.076
5327,60114,20963,60.114,60.114
3025.06,60131,15185,60.131,60.131
4340.03,60147,11117,60.147,60.147
1907.02,60150,7718,60.15,60.15
5405.01,60233,9629,60.233,60.233
2172,60250,22105,60.25,60.25
5717.01,60278,16193,60.278,60.278
1959.03,60313,18000,60.313,60.313
5706.01,60313,9621,60.313,60.313
1957.1,60359,13311,60.359,60.359
4814.01,60365,13944,60.365,60.365
2041.2,60441,12743,60.441,60.441
1310.23,60481,17359,60.481,60.481
1230.2,60500,22861,60.5,60.5
5315.04,60521,15102,60.521,60.521
5513,60556,9712,60.556,60.556
5349,60602,7439,60.602,60.602
5322,60676,6244,60.676,60.676
1325.01,60677,22364,60.677,60.677
4331.03,60694,18752,60.694,60.694
5551.06,60781,14838,60.781,60.781
5536.02,60806,8361,60.806,60.806
9005.01,60848,10382,60.848,60.848
5361.04,60885,3282,60.885,60.885
2912.2,60948,8518,60.948,60.948
2410.02,60962,11113,60.962,60.962
2037.1,60978,14215,60.978,60.978
4072.02,61039,6082,61.039,61.039
2696.01,61044,7771,61.044,61.044
1193.1,61250,34621,61.25,61.25
1349.06,61250,12421,61.25,61.25
1838.1,61250,12572,61.25,61.25
2348,61278,6201,61.278,61.278
6020.02,61319,7519,61.319,61.319
6024.03,61382,11618,61.382,61.382
1231.04,61389,14220,61.389,61.389
1395.06,61414,6367,61.414,61.414
5514.01,61429,7202,61.429,61.429
6030.05,61438,12331,61.438,61.438
1232.04,61471,14569,61.471,61.471
5004.02,61505,20223,61.505,61.505
2115,61538,14459,61.538,61.538
6009.12,61555,6752,61.555,61.555
2221,61563,14930,61.563,61.563
1132.34,61580,7064,61.58,61.58
1908.02,61612,9728,61.612,61.612
2345.01,61667,32598,61.667,61.667
5356.06,61683,15134,61.683,61.683
3024.01,61708,17287,61.708,61.708
2722.02,61786,17974,61.786,61.786
1274,61806,17757,61.806,61.806
1154.01,61875,12631,61.875,61.875
9107.14,61909,6906,61.909,61.909
4047.03,61925,8595,61.925,61.925
2186,61970,16516,61.97,61.97
5005,62031,11435,62.031,62.031
9107.21,62045,52074,62.045,62.045
6013.02,62143,4948,62.143,62.143
6041.01,62201,6198,62.201,62.201
2911.1,62222,17257,62.222,62.222
5548.01,62228,19774,62.228,62.228
1864.04,62264,7715,62.264,62.264
1113.02,62289,24617,62.289,62.289
3118.01,62337,18188,62.337,62.337
4809.03,62375,15258,62.375,62.375
1990.02,62390,16905,62.39,62.39
1134.26,62443,20172,62.443,62.443
5361.03,62447,12451,62.447,62.447
6031.02,62527,10472,62.527,62.527
9006.08,62527,22185,62.527,62.527
9008.07,62583,8381,62.583,62.583
1972,62612,8201,62.612,62.612
5354,62708,29266,62.708,62.708
5023.03,62729,8227,62.729,62.729
1317.02,62746,8210,62.746,62.746
2085.01,62750,8960,62.75,62.75
4017.06,62829,22900,62.829,62.829
1991.1,62837,15284,62.837,62.837
5307,62841,31049,62.841,62.841
6038.01,62866,8727,62.866,62.866
4090,62894,22260,62.894,62.894
5726,62895,16944,62.895,62.895
3105.01,62957,5270,62.957,62.957
2145.05,63000,28599,63,63
5335.01,63000,27402,63,63
5318,63029,17100,63.029,63.029
6030.04,63029,9743,63.029,63.029
5041.01,63047,7514,63.047,63.047
4821.01,63083,13211,63.083,63.083
9800.35,63083,13540,63.083,63.083
3019.02,63088,19059,63.088,63.088
6019,63153,15149,63.153,63.153
5337.03,63155,16575,63.155,63.155
4810.01,63159,18356,63.159,63.159
5413,63199,12708,63.199,63.199
2044.1,63214,19639,63.214,63.214
1351.15,63321,8591,63.321,63.321
6033.01,63362,11635,63.362,63.362
4817.13,63365,26201,63.365,63.365
1246,63370,8246,63.37,63.37
5439.05,63438,16890,63.438,63.438
5529,63497,4382,63.497,63.497
4030,63505,11548,63.505,63.505
5505.01,63534,10792,63.534,63.534
5521,63538,4037,63.538,63.538
4623.01,63583,13733,63.583,63.583
2655.23,63594,9179,63.594,63.594
5526.02,63615,11779,63.615,63.615
1834.02,63618,10299,63.618,63.618
4050.02,63625,19576,63.625,63.625
4811.02,63625,6033,63.625,63.625
5420,63668,7034,63.668,63.668
3005.03,63669,21607,63.669,63.669
4052.01,63675,7283,63.675,63.675
2323,63681,18692,63.681,63.681
6004,63702,7519,63.702,63.702
1242.01,63750,8024,63.75,63.75
5401.02,63750,7834,63.75,63.75
5426.02,63750,12139,63.75,63.75
5748,63778,16713,63.778,63.778
5544.04,63780,3383,63.78,63.78
6009.11,63833,14635,63.833,63.833
4029.04,63929,17006,63.929,63.929
1411.01,63932,15945,63.932,63.932
6040.02,63980,10186,63.98,63.98
5540.02,63984,17480,63.984,63.984
5362.02,64004,12374,64.004,64.004
5410.03,64009,15747,64.009,64.009
1863.01,64018,9934,64.018,64.018
1276.06,64133,12145,64.133,64.133
5552.12,64188,7595,64.188,64.188
5427,64208,3905,64.208,64.208
6701.01,64211,54237,64.211,64.211
4825.22,64281,6932,64.281,64.281
9107.13,64313,4624,64.313,64.313
4087.05,64333,18616,64.333,64.333
5535.04,64342,7280,64.342,64.342
2111.23,64348,15955,64.348,64.348
4037.21,64375,24714,64.375,64.375
2723.02,64408,20905,64.408,64.408
1864.03,64412,13424,64.412,64.412
1152.02,64429,8064,64.429,64.429
4621,64459,19627,64.459,64.459
5411,64464,23875,64.464,64.464
1898.02,64489,10912,64.489,64.489
1064.05,64490,10161,64.49,64.49
4825.21,64500,8565,64.5,64.5
4029.02,64511,14509,64.511,64.511
4320.02,64559,38826,64.559,64.559
4800.11,64592,18420,64.592,64.592
4073.02,64740,14526,64.74,64.74
4049.03,64766,11204,64.766,64.766
9105.05,64813,16714,64.813,64.813
1959.01,64821,27837,64.821,64.821
2017,64844,9817,64.844,64.844
4061.03,64846,11258,64.846,64.846
6039.01,64886,14316,64.886,64.886
4081.4,64900,8952,64.9,64.9
1198.02,64954,18006,64.954,64.954
2011.1,65000,17972,65,65
3108,65033,33041,65.033,65.033
1096.03,65060,12264,65.06,65.06
5704.04,65130,7753,65.13,65.13
1193.42,65149,10111,65.149,65.149
2267.01,65192,42228,65.192,65.192
5308.02,65227,9607,65.227,65.227
1914.2,65230,13153,65.23,65.23
4813,65300,4939,65.3,65.3
1837.01,65313,31323,65.313,65.313
2380,65313,14817,65.313,65.313
5345.02,65323,30691,65.323,65.323
4087.25,65341,14175,65.341,65.341
1918.2,65469,17369,65.469,65.469
4055,65500,18979,65.5,65.5
2676,65531,11071,65.531,65.531
5006,65577,16020,65.577,65.577
6013.01,65579,7869,65.579,65.579
4016.02,65591,9244,65.591,65.591
5362.01,65592,22572,65.592,65.592
2016.02,65625,17535,65.625,65.625
4315.02,65625,25670,65.625,65.625
5361.02,65625,17357,65.625,65.625
6042,65625,8438,65.625,65.625
1394.01,65649,25839,65.649,65.649
4076.01,65658,15762,65.658,65.658
2343.01,65690,16668,65.69,65.69
6506.04,65712,11581,65.712,65.712
5433.05,65714,13627,65.714,65.714
1836.1,65724,9229,65.724,65.724
3023.01,65750,17495,65.75,65.75
4044.02,65769,19435,65.769,65.769
1254.04,65778,2493,65.778,65.778
1171.02,65833,13975,65.833,65.833
3116.02,65902,21652,65.902,65.902
2111.21,65912,15968,65.912,65.912
1331.01,65954,18551,65.954,65.954
1045,65956,16940,65.956,65.956
5750.02,65969,15586,65.969,65.969
1061.14,65970,11976,65.97,65.97
1903.02,65976,31318,65.976,65.976
1277.11,66016,12211,66.016,66.016
5533,66037,20158,66.037,66.037
1313,66042,17517,66.042,66.042
5306.03,66061,12629,66.061,66.061
1895.01,66071,20285,66.071,66.071
2316.01,66081,17082,66.081,66.081
1043.22,66083,19241,66.083,66.083
4809.01,66085,14955,66.085,66.085
5020.05,66194,8697,66.194,66.194
1014,66210,28061,66.21,66.21
4819.02,66226,12939,66.226,66.226
5509.01,66250,12766,66.25,66.25
4815,66341,14184,66.341,66.341
2430.01,66406,18833,66.406,66.406
4053.02,66458,18653,66.458,66.458
7018.01,66464,9443,66.464,66.464
3012.03,66493,9338,66.493,66.493
2117.01,66563,37707,66.563,66.563
5037.01,66575,8776,66.575,66.575
2932.03,66615,21274,66.615,66.615
4336.01,66657,6263,66.657,66.657
2013.01,66658,18211,66.658,66.658
9008.05,66684,8373,66.684,66.684
9107.06,66724,11473,66.724,66.724
5509.02,66763,13224,66.763,66.763
6034,66786,16350,66.786,66.786
1203,66806,11953,66.806,66.806
4804,66809,31004,66.809,66.809
4812.03,66863,7959,66.863,66.863
4052.02,66875,7427,66.875,66.875
5719,66898,15085,66.898,66.898
5425.01,66954,22180,66.954,66.954
4086.28,66975,6170,66.975,66.975
5037.04,66983,23463,66.983,66.983
4082.12,67031,17873,67.031,67.031
4059,67047,12473,67.047,67.047
1853.1,67076,12274,67.076,67.076
2145.04,67083,54304,67.083,67.083
5512.04,67096,19072,67.096,67.096
7017.01,67113,18486,67.113,67.113
4048.04,67155,13468,67.155,67.155
4089,67209,19024,67.209,67.209
2171.02,67212,29446,67.212,67.212
4061.01,67317,13150,67.317,67.317
9107.18,67330,26344,67.33,67.33
6018.02,67361,11017,67.361,67.361
1433.01,67396,24864,67.396,67.396
4614,67399,14933,67.399,67.399
1896,67425,21213,67.425,67.425
2184,67426,16874,67.426,67.426
6506.06,67440,14172,67.44,67.44
4047.02,67462,9969,67.462,67.462
1112.05,67482,39316,67.482,67.482
4311,67500,21661,67.5,67.5
5706.02,67548,17075,67.548,67.548
4825.03,67566,10686,67.566,67.566
1871.02,67617,21600,67.617,67.617
5541.06,67772,8609,67.772,67.772
1341.01,67792,10601,67.792,67.792
2374.02,67863,11923,67.863,67.863
5429,67912,8842,67.912,67.912
4333.07,67917,15366,67.917,67.917
1340.01,67942,4157,67.942,67.942
4042.03,68029,7204,68.029,68.029
5431,68111,15344,68.111,68.111
2151.01,68148,9993,68.148,68.148
1834.01,68182,6918,68.182,68.182
4048.06,68182,6962,68.182,68.182
2384,68212,9300,68.212,68.212
2313.02,68281,32225,68.281,68.281
2933.04,68306,14467,68.306,68.306
2079.01,68333,32459,68.333,68.333
2911.2,68333,11267,68.333,68.333
5524,68333,10881,68.333,68.333
5035.01,68393,8514,68.393,68.393
4326.02,68407,16063,68.407,68.407
1343.04,68438,28889,68.438,68.438
4627,68500,27431,68.5,68.5
4334.02,68512,11249,68.512,68.512
6037.05,68611,9691,68.611,68.611
4603.02,68615,27965,68.615,68.615
2702,68651,11054,68.651,68.651
1046.2,68750,20968,68.75,68.75
4038.02,68750,12451,68.75,68.75
5007,68750,16248,68.75,68.75
5319.02,68750,20354,68.75,68.75
6012.02,68750,15105,68.75,68.75
2352.01,68828,9719,68.828,68.828
3018.02,68875,10197,68.875,68.875
1044.03,68929,19497,68.929,68.929
7019.02,68935,65393,68.935,68.935
5408,69000,12122,69,69
4011.01,69009,14465,69.009,69.009
1831.03,69032,12955,69.032,69.032
4013.12,69049,23165,69.049,69.049
5777,69146,9924,69.146,69.146
2015.01,69153,6166,69.153,69.153
1288.01,69232,11679,69.232,69.232
5544.06,69286,15620,69.286,69.286
1255.02,69397,9299,69.397,69.397
5430,69464,19247,69.464,69.464
7005.01,69477,12811,69.477,69.477
1899.07,69489,16911,69.489,69.489
4816.05,69500,25827,69.5,69.5
1341.04,69507,12327,69.507,69.507
1152.03,69609,17942,69.609,69.609
4071.01,69609,13672,69.609,69.609
5032.02,69635,25825,69.635,69.635
5031.04,69643,11713,69.643,69.643
1154.04,69688,17896,69.688,69.688
4310.03,69708,15554,69.708,69.708
5436.06,69716,23880,69.716,69.716
5523.02,69856,34678,69.856,69.856
3202.02,69867,30356,69.867,69.867
4051.01,69867,10684,69.867,69.867
7017.02,69904,32387,69.904,69.904
1091,70000,22504,70,70
5424.02,70000,9671,70,70
7001.01,70045,13509,70.045,70.045
1852.03,70096,30755,70.096,70.096
6026.01,70125,29224,70.125,70.125
5440.01,70163,29017,70.163,70.163
5015.03,70208,8959,70.208,70.208
4307.21,70221,22978,70.221,70.221
5018.02,70329,10340,70.329,70.329
1211.01,70382,10173,70.382,70.382
4053.01,70476,17609,70.476,70.476
2717.02,70504,12050,70.504,70.504
5535.02,70549,13164,70.549,70.549
5432.01,70550,12175,70.55,70.55
9006.11,70566,2969,70.566,70.566
5031.05,70568,18947,70.568,70.568
2699.03,70583,6540,70.583,70.583
4322.02,70590,24933,70.59,70.59
1048.21,70655,23594,70.655,70.655
3016.02,70677,17628,70.677,70.677
5540.01,70681,13898,70.681,70.681
2752,70689,4359,70.689,70.689
2974,70729,23381,70.729,70.729
1220,70764,21800,70.764,70.764
4811.01,70781,10187,70.781,70.781
9010.08,70795,16590,70.795,70.795
5020.03,70855,6670,70.855,70.855
1899.06,70868,9174,70.868,70.868
2751.02,70872,14856,70.872,70.872
4803.03,70938,14160,70.938,70.938
5550.01,70970,9001,70.97,70.97
1041.24,71000,20418,71,71
2149.04,71036,37515,71.036,71.036
1031.02,71038,13007,71.038,71.038
5031.06,71098,22416,71.098,71.098
5549,71122,8441,71.122,71.122
5768.02,71172,9686,71.172,71.172
4071.02,71176,13841,71.176,71.176
4023.01,71190,14596,71.19,71.19
5770,71230,17116,71.23,71.23
5025,71250,20914,71.25,71.25
6500.03,71330,11948,71.33,71.33
4006.02,71354,9231,71.354,71.354
6700.01,71361,17255,71.361,71.361
5302.04,71382,22761,71.382,71.382
5727,71383,5008,71.383,71.383
4091,71384,7866,71.384,71.384
5421.04,71397,17056,71.397,71.397
1065.2,71435,21713,71.435,71.435
4827.01,71438,15471,71.438,71.438
1042.01,71447,16531,71.447,71.447
4319,71468,15036,71.468,71.468
6514.02,71512,27578,71.512,71.512
1070.1,71546,14032,71.546,71.546
6701.02,71574,17876,71.574,71.574
4325.02,71577,16076,71.577,71.577
5731.02,71583,16192,71.583,71.583
9200.46,71619,4721,71.619,71.619
1910,71621,22448,71.621,71.621
2075.01,71628,12222,71.628,71.628
4083.01,71639,10914,71.639,71.639
4340.04,71652,11911,71.652,71.652
4309.01,71667,12379,71.667,71.667
4811.03,71706,5671,71.706,71.706
5766.02,71759,17824,71.759,71.759
2718.04,71764,20816,71.764,71.764
9107.19,71774,25285,71.774,71.774
2699.08,71808,11738,71.808,71.808
4077.02,71830,10313,71.83,71.83
9107.12,71842,24761,71.842,71.842
9200.5,71875,24024,71.875,71.875
4810.02,71957,9380,71.957,71.957
5347,71991,13169,71.991,71.991
4075.01,72000,9129,72,72
3106.01,72029,11350,72.029,72.029
1256,72096,21706,72.096,72.096
2734.04,72101,30401,72.101,72.101
6040.01,72147,12493,72.147,72.147
1066.48,72165,11727,72.165,72.165
4808.04,72188,14029,72.188,72.188
5518.02,72203,12689,72.203,72.203
4024.03,72215,6954,72.215,72.215
4086.23,72250,11374,72.25,72.25
4620.01,72250,12462,72.25,72.25
9010.07,72262,17766,72.262,72.262
4307.23,72268,13975,72.268,72.268
4081.39,72311,13041,72.311,72.311
2073.05,72330,24117,72.33,72.33
3011,72358,11630,72.358,72.358
4808.02,72368,35663,72.368,72.368
4049.01,72384,28796,72.384,72.384
1413.03,72399,16287,72.399,72.399
1341.03,72406,10410,72.406,72.406
5705.02,72420,13421,72.42,72.42
1899.05,72471,9841,72.471,72.471
9012.09,72500,13112,72.5,72.5
5502.01,72545,7683,72.545,72.545
2932.04,72554,37387,72.554,72.554
4824.04,72688,40584,72.688,72.688
5403,72822,11572,72.822,72.822
1287.03,72837,16551,72.837,72.837
1218.02,72844,23388,72.844,72.844
1862.01,72875,15086,72.875,72.875
9005.08,72891,15626,72.891,72.891
2942,72904,13224,72.904,72.904
5550.02,72946,25552,72.946,72.946
4310.04,72986,18170,72.986,72.986
4082.13,73000,9382,73,73
5520.02,73041,5442,73.041,73.041
4044.01,73125,9686,73.125,73.125
5517,73142,14312,73.142,73.142
4329.02,73162,9486,73.162,73.162
5722.01,73177,25102,73.177,73.177
4010.02,73194,18019,73.194,73.194
5359.02,73218,6520,73.218,73.218
2911.3,73242,14123,73.242,73.242
1920.01,73322,15958,73.322,73.322
5435.03,73322,14896,73.322,73.322
4326.01,73339,5986,73.339,73.339
1432,73362,8133,73.362,73.362
1048.24,73365,26999,73.365,73.365
2182.2,73455,21458,73.455,73.455
4828.01,73500,15839,73.5,73.5
5300.06,73528,11816,73.528,73.528
5321.02,73534,15506,73.534,73.534
2080.01,73553,23291,73.553,73.553
4038.01,73589,9892,73.589,73.589
6038.02,73602,23328,73.602,73.602
1251.01,73638,14604,73.638,73.638
1254.03,73654,10170,73.654,73.654
1436.05,73750,22638,73.75,73.75
3201.02,73750,23000,73.75,73.75
4027.06,73784,10282,73.784,73.784
4027.03,73826,17153,73.826,73.826
1032.01,73844,18919,73.844,73.844
4814.04,73846,26156,73.846,73.846
1212.21,73889,18289,73.889,73.889
4043.02,74063,16417,74.063,74.063
1314,74115,13768,74.115,74.115
2719.02,74186,10205,74.186,74.186
4081.37,74191,12422,74.191,74.191
9012.1,74219,18763,74.219,74.219
6025.12,74228,14868,74.228,74.228
5543.01,74273,14307,74.273,74.273
5734.02,74293,22806,74.293,74.293
1317.01,74294,12059,74.294,74.294
4314,74306,40430,74.306,74.306
5715.04,74375,10612,74.375,74.375
9011.01,74500,9554,74.5,74.5
2972.02,74567,27852,74.567,74.567
4338.03,74583,8670,74.583,74.583
7002,74605,21760,74.605,74.605
1011.1,74625,27799,74.625,74.625
4050.01,74653,13549,74.653,74.653
8003.37,74663,33804,74.663,74.663
5008,74688,15190,74.688,74.688
1193.2,74792,16848,74.792,74.792
5704.02,74805,12014,74.805,74.805
1316,74868,12412,74.868,74.868
9010.11,74871,22660,74.871,74.871
4033.26,74886,25233,74.886,74.886
4623.02,74931,21964,74.931,74.931
5539.01,75000,4355,75,75
4820.02,75013,17927,75.013,75.013
7018.02,75020,16839,75.02,75.02
1833,75048,6658,75.048,75.048
5409.02,75074,23653,75.074,75.074
1836.2,75083,30346,75.083,75.083
1330,75131,11482,75.131,75.131
4073.01,75167,10817,75.167,75.167
4081.38,75200,15173,75.2,75.2
5027,75208,17217,75.208,75.208
1327,75234,18755,75.234,75.234
1975,75276,6733,75.276,75.276
1192.02,75305,23332,75.305,75.305
1392,75361,14606,75.361,75.361
5730.03,75476,10526,75.476,75.476
5734.01,75536,23649,75.536,75.536
3102.02,75550,10533,75.55,75.55
6030.06,75756,16333,75.756,75.756
2722.01,75846,11151,75.846,75.846
5551.05,75902,14443,75.902,75.902
5401.01,75938,16951,75.938,75.938
6509.01,75938,20584,75.938,75.938
1323.02,75949,24142,75.949,75.949
9203.22,76012,19993,76.012,76.012
6007.04,76106,16819,76.106,76.106
2145.03,76131,4598,76.131,76.131
2151.02,76221,9987,76.221,76.221
1212.1,76250,17334,76.25,76.25
2733,76285,9211,76.285,76.285
4047.01,76319,10488,76.319,76.319
4072.01,76404,18717,76.404,76.404
9104.01,76522,12982,76.522,76.522
5030,76528,31098,76.528,76.528
9011.02,76675,17642,76.675,76.675
2195,76750,13689,76.75,76.75
4052.03,76776,6571,76.776,76.776
1249.03,76780,10261,76.78,76.78
6028.02,76810,12152,76.81,76.81
5300.07,76816,6639,76.816,76.816
5438.01,76848,14284,76.848,76.848
4826,76894,19777,76.894,76.894
6506.03,76897,16761,76.897,76.897
1320.01,76972,19602,76.972,76.972
5004.04,77028,13607,77.028,77.028
6099,77059,14835,77.059,77.059
2699.09,77074,14780,77.074,77.074
9200.35,77086,4459,77.086,77.086
5512.03,77109,14056,77.109,77.109
4615.01,77114,11963,77.114,77.114
2766.06,77143,32738,77.143,77.143
2077.12,77213,19102,77.213,77.213
5779,77220,4651,77.22,77.22
3201.01,77225,21284,77.225,77.225
1835.1,77292,25395,77.292,77.292
1976,77308,9045,77.308,77.308
2655.22,77348,21079,77.348,77.348
9107.16,77500,7415,77.5,77.5
1953,77525,10847,77.525,77.525
1133.23,77596,25133,77.596,77.596
3112,77599,11104,77.599,77.599
5417,77684,8562,77.684,77.684
4045.03,77721,5769,77.721,77.721
6036,77865,21177,77.865,77.865
5013.01,77868,31462,77.868,77.868
6014.02,77908,19878,77.908,77.908
1347.2,77926,13907,77.926,77.926
6511.02,77958,17630,77.958,77.958
4613,78030,20892,78.03,78.03
4300.04,78056,10253,78.056,78.056
1372.02,78095,12133,78.095,78.095
5515.01,78098,11335,78.098,78.098
5712.02,78125,35281,78.125,78.125
5990,78254,20532,78.254,78.254
2976.02,78276,21073,78.276,78.276
1239.02,78304,17271,78.304,78.304
5440.02,78421,6977,78.421,78.421
1349.05,78465,22810,78.465,78.465
7013.02,78542,21718,78.542,78.542
9102.15,78552,10993,78.552,78.552
4609,78643,9612,78.643,78.643
4027.05,78667,16669,78.667,78.667
